Model,Accuracy,Precision,Recall,F1,ROC_AUC,Threshold
Logistic Regression,0.6075418994413407,0.2653061224489796,0.5454545454545454,0.35697940503432496,0.6146645675441487,0.35
Extra Trees,0.590782122905028,0.25961538461538464,0.5664335664335665,0.35604395604395606,0.5975847886842651,0.35
Random Forest,0.4860335195530726,0.2327790973871734,0.6853146853146853,0.3475177304964539,0.57456156409036,0.3
Decision Tree,0.41480446927374304,0.21487603305785125,0.7272727272727273,0.3317384370015949,0.5544429392596931,0.35
XGBoost,0.7737430167597765,0.24324324324324326,0.06293706293706294,0.1,0.5719193546418677,0.3
Gradient Boosting,0.7877094972067039,0.32,0.055944055944055944,0.09523809523809523,0.5854416090018183,0.3
